,Cadps2_class,Calb2_class,Cdh13_class,Cnr1_class,Cplx2_class,Cryab_class,Cxcl14_class,Gad1_class,Id2_class,Lhx6_class,Pcp4_class,Pde1a_class,Penk_class,Plp1_class,Pnoc_class,Pvalb_class,Reln_class,Rgs4_class,Satb1_class,Snca_class,Sncg_class,Sst_class,Zero
Ndnf,0.0009313118957955634,0.0,0.0,0.0,0.05674503592031826,0.0097670961833995,0.009683883544757932,0.0,0.027208746930918456,0.2848432170063501,0.0348338990757056,0.004734091787949289,0.002349016689061812,0.017058719824141148,0.0003636002466596109,0.0,0.06609568518194518,0.0941953026716142,0.06824124404007291,0.05690081092114911,0.0,0.09254089751221002,0.017228095553586866
Neurod6,0.0317546057186148,0.0,0.09278587795146995,0.09065407723409373,0.0,0.0,0.06107333473015224,0.04903479921298659,0.011679592576474034,0.0942027148012085,0.0,0.16067862321880833,0.019854520043374665,0.0050874517637246675,0.0,0.0,0.0,0.014404300767277629,0.0,0.030476404665973345,0.0,0.0,0.016944225444535187
Nos1,0.27672623705805355,0.21018431299943488,0.07008351557535768,0.0,0.0,0.0,0.12211243330729375,0.010075928478855623,0.014368999644745336,0.0027128932609771254,0.020357898089798918,0.05068345456724468,0.004946515053944041,0.012347912734933308,0.0,0.0,0.0002713261709231633,0.03189659737571134,0.03299581504335589,0.0007347230420981903,1.2215380094740187,0.004623801961008369,0.00428059401177006
Nov,0.016414517789681123,0.0,0.0,0.0,0.0,0.06256115238230296,0.0,0.06988859357467189,6.939858040587828e-05,0.0,0.03221218725705483,0.0,0.0,0.0030437506986941,0.0,0.0,0.060712640886014614,0.05340855313356457,0.0382361847493649,0.015946803390873156,0.005954072604424119,0.18020436230438175,0.0
Npy2r,0.04389764109747028,0.0,0.0,0.2739402311859841,0.1703553719737135,0.12237825071034975,0.011938461805754707,0.0036897360180971743,0.0012556259914151958,0.38389343684239985,0.032809856685883716,0.0,0.07739085749308888,0.024630774082360522,0.06532858522356597,0.23886437184555118,0.32950886643164173,0.06600946622598698,0.0931493431165978,0.0,0.0,0.08488933411203911,0.006973404950846329
Nr4a2,0.014722390863362038,0.09902364198209973,0.0,0.085150366332524,0.02821899957270846,0.0,0.0,0.0,0.0,0.0,0.0,0.07633869302434636,0.0,0.003444279471863341,0.03735735615792988,0.24021666888517235,0.0,0.0,0.0,0.03413514672259929,0.11774781707100444,0.0,0.0
Nrn1,0.05330909992003741,4.610598300995229,0.37616934848859185,0.0,0.0,0.028339617195467993,0.1102809591775983,0.0,0.030523174930425234,0.021261664689903943,0.13055096220236997,0.000850353577743939,0.05001640541575414,0.016714318789617537,0.0303172763674749,0.0,0.06354284760253502,2.7281146218896373,0.035825611714504005,0.0032527448014321066,0.24625545717483605,0.030034482071869206,0.037908891155201484
Ntng1,0.12053450684555964,3.785912775571401,0.4826485224947309,0.00015077287120455435,0.12178959575484812,0.0006317997257359702,0.001340759917704559,0.09652624936263764,0.03352557808262249,1.2448931555928133,0.027656678702075395,0.41352537968838426,0.49205022983839747,0.0452118878372878,0.06225458755404943,0.0008478781909462496,0.0654648218783675,2.293808400313516,0.07960457178464235,0.7749952144960413,1.621514911489027,1.0477107328344508,0.03947274605316304
Pcp4,2.0383668749107473,1.740950069767889,2.9836469704279165,4.488650955375218,2.8416485692701507,1.7724413715304839,1.800499772703115,4.969008275806575,0.5922796621889501,3.7309529811609514,7.699592514542597,2.1968955702483446,2.1063715351385937,0.9388383702598333,2.9781455586837136,9.02915342137032,1.2263897728885447,0.8392134565121664,5.3859715158638926,1.6207029713264467,3.2944166159999404,0.9034138507946186,0.21110596183728883
Pde1a,5.925623317894532,0.11971984279542819,9.68821737303065,7.380754183581075,3.915234106964167,5.394209643739975,2.734542943111479,0.5230375259913952,0.16596837243699444,1.571205713357561,0.012227363680169539,7.946789180381335,2.6730379329462997,0.5177159274126477,0.9081549929956906,0.6653060090347955,3.8545373327247825,0.6569316436203473,0.2599482358291055,1.2963831484743262,17.242310711745006,1.4875991820539651,0.15889903217591608
Penk,0.49695786096366484,1.3812942163214075,1.1731299232119772,2.9921393704013566,1.2050148370439353,4.334615754822223,1.0863852930714075,3.551778569234811,0.4810272442979088,1.9623382481075868,4.075563442815284,0.40794774092427116,7.48655071685849,0.5340975137734746,2.874176608580074,6.753219586784856,2.1000237716625105,0.359962314046333,2.8032013716948008,1.2084083167987008,2.893995969136736,3.6200848489458495,0.14429491158208915
Plcxd2,0.11977214417126782,0.33788725506961426,0.09028337317841681,1.5325195646359997,0.8588945845428918,0.4698660846197957,0.10741364965661263,0.5010161654244314,0.08481610105668563,1.066835268734439,0.8993724965779777,0.7490819020822546,0.16427576427665228,0.0991049015265593,0.6204870711956414,1.4728840874212856,0.24411480981520858,0.12048360263247015,1.0173911309595904,0.35431546552220394,1.2350920597428678,1.5435971901891414,0.022526544407993124
Plp1,1.5816780959290893,1.6906991390863004,0.6576445667990256,1.963309166073774,2.5914434381423446,0.9934316235539353,6.1462826264038695,1.22025825544808,1.9240845630103922,3.3962233222073595,2.50865275829103,18.46170674724325,1.2051318150891055,7.06574708479873,1.5026245274158072,2.797322773452704,1.3057345912943827,3.0171285539024497,2.7002343452543465,1.5702112848533334,1.179293920044768,7.38382859905712,0.3006572250764795
